alpha,beta,lr_0,n,n_iter,random_state,runtime,seed,val_acc,val_nll,test_acc,test_nll
0.00758947976208385,0.0006780776932355295,0.0023886297077207034,10000.0,0.0,1001.0,2079.274697780609,0.0,0.9319999814033508,0.2463267602920532,0.9392000436782836,0.2147575982093811
1.1021585497520294e-06,1e-06,0.1,10000.0,1.0,1001.0,6055.884248971939,0.0,0.9300000071525574,0.3591372771263122,0.9392000436782836,0.2147575982093811
0.0027750032467908623,0.001468262531869239,0.0006554314075351064,10000.0,2.0,1001.0,7919.535531282425,0.0,0.9194999933242798,0.2240031840801239,0.9282999634742736,0.2171717646121979
0.000137927517063653,0.01,0.0007411307554371281,10000.0,3.0,1001.0,9832.100754976273,0.0,0.9209999442100524,0.2201094880104065,0.9308999180793762,0.2105028934001922
0.01,0.01,0.0001,10000.0,4.0,1001.0,11791.489254713058,0.0,0.8089999556541443,0.8361779565811157,0.9308999180793762,0.2105028934001922
2.6517612118098244e-05,1.0239990938397078e-05,0.0010927119679815071,10000.0,5.0,1001.0,13706.589502334595,0.0,0.9284999370574952,0.220022518157959,0.9362000226974488,0.1988734043121338
0.01,0.01,0.0011218944292242746,10000.0,6.0,1001.0,16020.608328819275,0.0,0.9269999265670776,0.2152782793045043,0.936799943447113,0.1986912116050719
0.004653219291303332,8.891071830028077e-06,0.01378944122390666,10000.0,7.0,1001.0,17975.525612831116,0.0,0.937999963760376,0.2412491447925567,0.936799943447113,0.1986912116050719
1e-06,0.01,0.008176420555975263,10000.0,8.0,1001.0,19839.662751674652,0.0,0.940500020980835,0.1923659877777099,0.9477999210357666,0.1855570261478423
1e-06,1e-06,0.006927741949791331,10000.0,9.0,1001.0,21946.40484023094,0.0,0.9409999847412108,0.2393302233219146,0.9477999210357666,0.1855570261478423
0.01,0.01,0.007894222550225956,10000.0,10.0,1001.0,24071.237713336945,0.0,0.9375,0.2280507867336273,0.9477999210357666,0.1855570261478423
1e-06,0.01,0.016164468685998273,10000.0,11.0,1001.0,26159.386290073395,0.0,0.9495000243186952,0.1658138349056244,0.9526000022888184,0.1699109365701674
1.7547413041177135e-06,7.91075667332751e-06,0.0005043796336040412,10000.0,0.0,1001.0,1988.7961695194244,1.0,0.912500023841858,0.2534411544799805,0.9214999675750732,0.240668642950058
0.0034424767798646888,0.01,0.06409990349943775,10000.0,1.0,1001.0,6247.5878784656525,1.0,0.9484999775886536,0.1543433446884155,0.9545999765396118,0.1505224222302436
0.008463400565647436,0.005512774888287404,0.010742089973960284,10000.0,2.0,1001.0,8189.261480331421,1.0,0.9364999532699584,0.2192739372253418,0.9545999765396118,0.1505224222302436
0.01,0.01,0.1,10000.0,3.0,1001.0,10145.960582256317,1.0,0.9495000243186952,0.1714412813186645,0.9545999765396118,0.1505224222302436
