criterion,model_name,n,random_state,runtime,test_acc,test_nll
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.1_n=40_random_state=1001,40,1001,6414.779796361923,0.7676315903663635,0.1095878836159643
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.1_n=40_random_state=2001,40,2001,6336.960590362549,0.8094736337661743,0.0930048343044166
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.1_n=40_random_state=3001,40,3001,6513.962562799454,0.6998684406280518,0.1506395723278584
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.1_n=400_random_state=1001,400,1001,7192.430218458176,0.8673684597015381,0.0781708977981103
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.1_n=400_random_state=2001,400,2001,7386.085636854172,0.8592105507850647,0.0866693286770665
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.1_n=400_random_state=3001,400,3001,7253.2201795578,0.8734210729598999,0.0707757980220891
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.1_n=4000_random_state=1001,4000,1001,7622.5765290260315,0.8965789079666138,0.0589866467663945
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.1_n=4000_random_state=2001,4000,2001,7582.636850118637,0.9080263376235962,0.0527650439230331
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.1_n=4000_random_state=3001,4000,3001,7746.805230379105,0.8997368812561035,0.0583090983197478
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.1_n=40000_random_state=1001,40000,1001,7104.888530731201,0.9356578588485718,0.0197006161868155
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.1_n=40000_random_state=2001,40000,2001,7054.123312473297,0.9314473271369934,0.0203681678884956
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.1_n=40000_random_state=3001,40000,3001,6884.513414621353,0.9365789890289308,0.0192542670846083
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.1_n=120000_random_state=1001,120000,1001,7111.840314149857,0.9422367811203004,0.016571309340407
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.1_n=120000_random_state=2001,120000,2001,7277.97568321228,0.9401316046714784,0.0166021929960697
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.1_n=120000_random_state=3001,120000,3001,7171.727962255478,0.9389473795890808,0.0170430689366338
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.01_n=40_random_state=1001,40,1001,6358.005242109299,0.7763158082962036,0.0983673328504358
