criterion,model_name,n,random_state,runtime,test_acc,test_nll,test_bma_acc,test_clml
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.1_n=100_random_state=1001,100,1001,2974.3525881767273,0.7871,0.7849730924606324,0.7855,-0.7653626116612404
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.1_n=100_random_state=2001,100,2001,2964.33531332016,0.7263999999999999,1.127197824668884,0.7261,-0.8792647036412209
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.1_n=100_random_state=3001,100,3001,2969.1793627738953,0.7574,0.967114230537415,0.7581,-0.7483032854893654
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.01_n=100_random_state=1001,100,1001,2970.2183578014374,0.7315999999999999,0.9224473989486696,0.731,-1.1171129855015725
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.01_n=100_random_state=2001,100,2001,2944.328917503357,0.6941,1.1879908699035646,0.6929000000000001,-1.015006891141221
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.01_n=100_random_state=3001,100,3001,2966.7954342365265,0.7507999999999999,0.9166430738449096,0.7517,-0.9000900896885842
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.001_n=100_random_state=1001,100,1001,3021.4864118099213,0.6594000000000001,1.0582728870391849,0.659,-1.6861747416356057
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.001_n=100_random_state=2001,100,2001,2966.6427829265594,0.6792,1.0867085794448852,0.679,-1.2176264437535256
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.001_n=100_random_state=3001,100,3001,2972.712221622467,0.7325999999999999,0.850685863113403,0.7362,-1.2569407137730568
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.0001_n=100_random_state=1001,100,1001,3083.7288291454315,0.5905,1.2867657787323004,0.5915999999999999,-7.21889912212877
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.0001_n=100_random_state=2001,100,2001,2894.1726434230804,0.65,1.053557022476196,0.6493,-4.687790265927598
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.0001_n=100_random_state=3001,100,3001,2906.8861408233643,0.7133999999999999,0.908524283027649,0.7121000000000001,-4.282037607083604
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.1_n=100_random_state=1001,100,1001,2912.8500592708588,0.8653000000000001,0.437178151512146,0.8647,-0.7114008578160256
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.1_n=100_random_state=2001,100,2001,2988.1263370513916,0.8379,0.5104718846321106,0.8378,-0.7416323336461037
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.1_n=100_random_state=3001,100,3001,2951.2890696525574,0.8509,0.4578115561485291,0.8518000000000001,-0.686159006009385
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.01_n=100_random_state=1001,100,1001,2900.7091479301453,0.7792999999999999,0.7231713871002198,0.7803000000000001,-0.9965990694859476
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.01_n=100_random_state=2001,100,2001,3029.621833562851,0.7736000000000001,0.8038337829589843,0.7731,-0.8199127825596779
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.01_n=100_random_state=3001,100,3001,2974.9807119369507,0.8013999999999999,0.6729338293075562,0.8013,-0.6761339815953225
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.001_n=100_random_state=1001,100,1001,2967.6022951602936,0.664,1.066774917030334,0.6636,-1.5517533930638283
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.001_n=100_random_state=2001,100,2001,2976.44051194191,0.6851,1.0944717269897462,0.6878,-1.2529171618321389
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.001_n=100_random_state=3001,100,3001,2898.3421998023987,0.7386000000000001,0.8537747272491455,0.7414000000000001,-1.1474169405796977
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.0001_n=100_random_state=1001,100,1001,2902.3153860569,0.5902999999999999,1.286881917572022,0.5912,-7.1992546233036965
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.0001_n=100_random_state=2001,100,2001,2935.425862789154,0.65,1.0534202312469478,0.65,-4.676224103818223
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.0001_n=100_random_state=3001,100,3001,2990.4113268852234,0.7135,0.9082034215927124,0.7131,-4.2725509318211525
l2-sp,l2-sp_alpha=0.01_beta=0.0001_lr_0=0.1_n=100_random_state=1001,100,1001,2982.189038515091,0.8355,0.5890580857276917,0.8361000000000001,-0.6280859621861428
l2-sp,l2-sp_alpha=0.01_beta=0.0001_lr_0=0.1_n=100_random_state=2001,100,2001,2908.5941162109375,0.8150999999999999,0.6471398273468021,0.8150999999999999,-0.6355503710606545
l2-sp,l2-sp_alpha=0.01_beta=0.0001_lr_0=0.1_n=100_random_state=3001,100,3001,3013.09028506279,0.8264999999999999,0.5998811730384829,0.8260000000000002,-0.6192148836949318
l2-sp,l2-sp_alpha=0.01_beta=0.0001_lr_0=0.01_n=100_random_state=1001,100,1001,2988.505224943161,0.7839,0.7185106769561768,0.7825,-0.945739618192002
l2-sp,l2-sp_alpha=0.01_beta=0.0001_lr_0=0.01_n=100_random_state=2001,100,2001,2994.4203329086304,0.7835,0.7504713218688965,0.7828,-0.7659224184849709
l2-sp,l2-sp_alpha=0.01_beta=0.0001_lr_0=0.01_n=100_random_state=3001,100,3001,3013.273792028427,0.8100999999999999,0.6543714014053346,0.8105,-0.6615656527379006
l2-sp,l2-sp_alpha=0.01_beta=0.0001_lr_0=0.001_n=100_random_state=1001,100,1001,2903.3941485881805,0.6639999999999999,1.0683184600830085,0.6635,-1.5365427645543068
l2-sp,l2-sp_alpha=0.01_beta=0.0001_lr_0=0.001_n=100_random_state=2001,100,2001,2916.7986392974854,0.6854,1.0963767179489137,0.6883,-1.2644442232945412
l2-sp,l2-sp_alpha=0.01_beta=0.0001_lr_0=0.001_n=100_random_state=3001,100,3001,2933.301205635071,0.7391,0.8547483247756957,0.7414,-1.154009691129014
l2-sp,l2-sp_alpha=0.01_beta=0.0001_lr_0=0.0001_n=100_random_state=1001,100,1001,2976.338253736496,0.5902000000000001,1.2868968664169311,0.5913000000000002,-7.197306266675279
l2-sp,l2-sp_alpha=0.01_beta=0.0001_lr_0=0.0001_n=100_random_state=2001,100,2001,3006.045106649399,0.65,1.0534085275650025,0.6479,-4.798839441190049
l2-sp,l2-sp_alpha=0.01_beta=0.0001_lr_0=0.0001_n=100_random_state=3001,100,3001,2925.05139875412,0.7133999999999999,0.9081815990447994,0.7128,-4.279590955624864
l2-sp,l2-sp_alpha=0.01_beta=1e-05_lr_0=0.1_n=100_random_state=1001,100,1001,3040.980236530304,0.8200000000000001,0.6643011092185975,0.8201,-0.6519440325596779
l2-sp,l2-sp_alpha=0.01_beta=1e-05_lr_0=0.1_n=100_random_state=2001,100,2001,2995.0224738121033,0.8107,0.6968968088150026,0.8096,-0.6700132998326271
l2-sp,l2-sp_alpha=0.01_beta=1e-05_lr_0=0.1_n=100_random_state=3001,100,3001,2932.3555397987366,0.812,0.6758587574005126,0.8122,-0.6463726672032326
l2-sp,l2-sp_alpha=0.01_beta=1e-05_lr_0=0.01_n=100_random_state=1001,100,1001,2977.110205888748,0.7849999999999999,0.7094190694808958,0.7854999999999999,-1.0312298449376076
l2-sp,l2-sp_alpha=0.01_beta=1e-05_lr_0=0.01_n=100_random_state=2001,100,2001,2899.5423238277435,0.7855000000000001,0.7551340744018555,0.7854,-0.843425622830674
l2-sp,l2-sp_alpha=0.01_beta=1e-05_lr_0=0.01_n=100_random_state=3001,100,3001,2907.991705417633,0.8115,0.6484669635772706,0.8108000000000001,-0.7286070498326271
l2-sp,l2-sp_alpha=0.01_beta=1e-05_lr_0=0.001_n=100_random_state=1001,100,1001,2927.2256302833557,0.6639999999999999,1.0684808910369874,0.6674,-1.931774011502549
l2-sp,l2-sp_alpha=0.01_beta=1e-05_lr_0=0.001_n=100_random_state=2001,100,2001,2979.774317264557,0.6854,1.0965795095443722,0.6857000000000001,-1.1161974581578225
l2-sp,l2-sp_alpha=0.01_beta=1e-05_lr_0=0.001_n=100_random_state=3001,100,3001,2999.882472753525,0.7392,0.85486024684906,0.7411000000000001,-1.3231209429600683
l2-sp,l2-sp_alpha=0.01_beta=1e-05_lr_0=0.0001_n=100_random_state=1001,100,1001,2912.7825920581818,0.5902000000000001,1.286894910621643,0.5916,-7.197788110623643
