criterion,model_name,n,random_state,runtime,test_acc,test_nll,test_bma_acc,test_clml
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.1_n=1000_random_state=1001,1000,1001,3579.3608429431915,0.938,0.2134693992137908,0.9378,-0.2127321871617287
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.1_n=1000_random_state=2001,1000,2001,3662.673017978668,0.9393,0.2241943029880523,0.9376,-0.2766541155674904
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.1_n=1000_random_state=3001,1000,3001,3637.665429830551,0.9403,0.205864067864418,0.9408,-0.2081078204014748
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.01_n=1000_random_state=1001,1000,1001,3614.541175842285,0.9373,0.2346948033332825,0.9373,-0.2134693774083107
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.01_n=1000_random_state=2001,1000,2001,3657.1102607250214,0.9344,0.2546487984776497,0.9345,-0.2125929507115334
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.01_n=1000_random_state=3001,1000,3001,3616.0544464588165,0.9337,0.2396114860534668,0.9341,-0.3497666033604591
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.001_n=1000_random_state=1001,1000,1001,3642.455976009369,0.9103,0.2959793072700501,0.9104,-0.3740547808506935
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.001_n=1000_random_state=2001,1000,2001,3736.4418346881866,0.8996999999999999,0.3454131249427796,0.9001999999999999,-0.3875521334507912
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.001_n=1000_random_state=3001,1000,3001,3592.3745284080505,0.912,0.2974416544914244,0.9089,-0.830878129849717
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.0001_n=1000_random_state=1001,1000,1001,3653.160327911377,0.7943,0.8209494168281556,0.7918999999999999,-6.300894847760484
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.0001_n=1000_random_state=2001,1000,2001,3739.4041125774384,0.8115,0.7676403693199157,0.8134,-5.882201066861436
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.0001_n=1000_random_state=3001,1000,3001,3655.511234998703,0.8373000000000002,0.6392115952491758,0.8375999999999999,-4.170260301480576
