criterion,model_name,n,random_state,runtime,test_acc,test_nll
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.1_n=100_random_state=1001,100,1001,3753.253726005554,0.7852999567985535,0.7878020633697511
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.1_n=100_random_state=2001,100,2001,3776.036872625351,0.7219999432563782,1.163573062896729
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.1_n=100_random_state=3001,100,3001,3683.717071533203,0.7594999670982361,0.9679612236022946
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.1_n=1000_random_state=1001,1000,1001,4695.407017469406,0.9386999607086182,0.2167807647228241
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.1_n=1000_random_state=2001,1000,2001,4023.500019788742,0.939300000667572,0.2215577668905258
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.1_n=1000_random_state=3001,1000,3001,4054.210528612137,0.940400004386902,0.2088709536314009
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.1_n=10000_random_state=1001,10000,1001,6273.3660197258,0.9687000513076782,0.1046739013075828
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.1_n=10000_random_state=2001,10000,2001,4587.985815048218,0.9696000218391418,0.1063905678749084
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.1_n=10000_random_state=3001,10000,3001,4708.261079549789,0.9699999690055848,0.1051661157131195
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.1_n=50000_random_state=1001,50000,1001,4596.849258899689,0.9782000184059144,0.0659220326721668
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.1_n=50000_random_state=2001,50000,2001,3963.7149991989136,0.9789000153541564,0.0661542883813381
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.1_n=50000_random_state=3001,50000,3001,3985.7984607219696,0.9794999957084656,0.0655172787547111
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.01_n=100_random_state=1001,100,1001,3828.534518957138,0.7301999926567078,0.9283932619094852
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.01_n=100_random_state=2001,100,2001,5107.571427345276,0.6916999816894531,1.1956330535888673
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.01_n=100_random_state=3001,100,3001,3290.340385913849,0.7541000247001648,0.9004053361892701
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.01_n=1000_random_state=1001,1000,1001,4623.228532075882,0.937000036239624,0.2351856553077698
