criterion,model_name,n,random_state,runtime,test_acc,test_nll
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.1_n=100_random_state=1001,100,1001,1731.2409620285034,0.5813000202178955,1.3224620903015134
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.1_n=100_random_state=2001,100,2001,1711.4197676181793,0.5562000274658203,1.386775204849243
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.1_n=100_random_state=3001,100,3001,1720.1884198188782,0.6234000325202942,1.1513272623062136
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.1_n=1000_random_state=1001,1000,1001,2124.3174510002136,0.8841999769210815,0.3841038889884948
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.1_n=1000_random_state=2001,1000,2001,2118.4743342399597,0.8784999847412109,0.3897730284690858
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.1_n=1000_random_state=3001,1000,3001,2113.6597731113434,0.8779999613761902,0.4019321531295778
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.1_n=10000_random_state=1001,10000,1001,2416.317716360092,0.9517000913619996,0.1596787714004516
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.1_n=10000_random_state=2001,10000,2001,2246.957772731781,0.9491000175476074,0.1707893792390823
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.1_n=10000_random_state=3001,10000,3001,2650.067696094513,0.9488999843597412,0.1651309026241303
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.1_n=50000_random_state=1001,50000,1001,2353.709302663803,0.968500018119812,0.0983565240740775
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.1_n=50000_random_state=2001,50000,2001,2324.221799135208,0.9692999124526978,0.0949985313653946
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.1_n=50000_random_state=3001,50000,3001,2321.6834411621094,0.9686000347137452,0.0971551034688949
