criterion,model_name,n,random_state,runtime,test_acc,test_nll
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.1_n=100_random_state=1001,100,1001,6400.675934553146,0.7000999450683594,1.153007780265808
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.1_n=100_random_state=2001,100,2001,6218.68855714798,0.6672000288963318,1.3510218753814691
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.1_n=100_random_state=3001,100,3001,6317.176211595535,0.760699987411499,0.870238240623474
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.1_n=1000_random_state=1001,1000,1001,7565.746597290039,0.9276000261306764,0.2661886801242827
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.1_n=1000_random_state=2001,1000,2001,7578.1596784591675,0.9339999556541444,0.2472095355987549
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.1_n=1000_random_state=3001,1000,3001,7558.708644151688,0.9363999962806702,0.2442107832431794
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.1_n=10000_random_state=1001,10000,1001,9165.091635465622,0.9724000096321106,0.1001425716429948
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.1_n=10000_random_state=2001,10000,2001,8875.44285082817,0.9705000519752502,0.1023412618517875
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.1_n=10000_random_state=3001,10000,3001,8968.424274682999,0.9725000858306884,0.1059109870314598
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.1_n=50000_random_state=1001,50000,1001,8656.65382695198,0.9842000603675842,0.0553398904249071
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.1_n=50000_random_state=2001,50000,2001,8762.214109659195,0.9819000363349916,0.0616283275112509
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.1_n=50000_random_state=3001,50000,3001,9357.925095558167,0.9819999933242798,0.0587847485437989
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.01_n=100_random_state=1001,100,1001,6362.648152589798,0.8407000303268433,0.5124294513702393
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.01_n=100_random_state=2001,100,2001,6263.34485077858,0.8241000771522522,0.5657191006660462
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.01_n=100_random_state=3001,100,3001,6265.308256864548,0.8559999465942383,0.4726466901779174
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.01_n=1000_random_state=1001,1000,1001,7762.704031229019,0.916700005531311,0.3174423639297486
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.01_n=1000_random_state=2001,1000,2001,7547.755628108978,0.915000021457672,0.3285536993026732
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.01_n=1000_random_state=3001,1000,3001,7558.732609987259,0.9166000485420228,0.3247503687858581
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.01_n=10000_random_state=1001,10000,1001,7639.036761045456,0.9674000144004822,0.122553209811449
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.01_n=10000_random_state=2001,10000,2001,8873.987824440002,0.9668000340461732,0.1198667862340807
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.01_n=10000_random_state=3001,10000,3001,8643.055123567581,0.96589994430542,0.1306119814634323
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.01_n=50000_random_state=1001,50000,1001,8586.433825731277,0.9790000319480896,0.0707989967390894
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.01_n=50000_random_state=2001,50000,2001,8784.327149868011,0.9790000319480896,0.0718226709678769
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.01_n=50000_random_state=3001,50000,3001,8846.433557271957,0.979599952697754,0.0701408451840281
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.001_n=100_random_state=1001,100,1001,7279.525487422943,0.8718000054359436,0.4024662446975707
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.001_n=100_random_state=2001,100,2001,6314.766175746918,0.8526999354362488,0.4545514613151551
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.001_n=100_random_state=3001,100,3001,7306.8386080265045,0.8780999183654785,0.4013814621925354
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.001_n=1000_random_state=1001,1000,1001,8637.728088855743,0.9361000061035156,0.22188369307518
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.001_n=1000_random_state=2001,1000,2001,7755.5556054115295,0.9359000325202942,0.2143872554302215
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.001_n=1000_random_state=3001,1000,3001,8437.327431440353,0.9328000545501708,0.2341420786857605
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.001_n=10000_random_state=1001,10000,1001,7654.17982172966,0.967199981212616,0.11616087859869
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.001_n=10000_random_state=2001,10000,2001,7682.042804718018,0.9656999707221984,0.1205087680846452
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.001_n=10000_random_state=3001,10000,3001,7761.586983919144,0.9639000296592712,0.1275205073714256
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.001_n=50000_random_state=1001,50000,1001,7495.949729919434,0.9745000004768372,0.0792272056341171
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.001_n=50000_random_state=2001,50000,2001,7525.199619054794,0.974600076675415,0.0807771931290626
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.001_n=50000_random_state=3001,50000,3001,7565.578449249268,0.9749001264572144,0.0786989726901054
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.0001_n=100_random_state=1001,100,1001,6319.777215719223,0.8707999587059021,0.4800185674667359
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.0001_n=100_random_state=2001,100,2001,7537.1518540382385,0.841200053691864,0.5369596285820006
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.0001_n=100_random_state=3001,100,3001,7464.539979457855,0.8736000061035156,0.4637981532096862
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.0001_n=1000_random_state=1001,1000,1001,8667.201394557953,0.9347000122070312,0.2424979833602905
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.0001_n=1000_random_state=2001,1000,2001,8532.398611068726,0.9359999895095824,0.2256618199110032
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.0001_n=1000_random_state=3001,1000,3001,8983.11620259285,0.9347000122070312,0.2246724327564238
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.0001_n=10000_random_state=1001,10000,1001,8733.708087444305,0.9492000341415404,0.2212044343948365
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.0001_n=10000_random_state=2001,10000,2001,8954.167094945908,0.9479999542236328,0.218549413561821
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.0001_n=10000_random_state=3001,10000,3001,8890.111392498016,0.9474999904632568,0.2184312619686127
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.0001_n=50000_random_state=1001,50000,1001,7720.944932460785,0.9502999782562256,0.2184922792673111
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.0001_n=50000_random_state=2001,50000,2001,7610.018707275391,0.9495999813079834,0.2145481153011322
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.0001_n=50000_random_state=3001,50000,3001,7715.40567779541,0.9484000205993652,0.2191319416999816
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.1_n=100_random_state=1001,100,1001,7182.871157407761,0.8470000624656677,0.5154563757896423
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.1_n=100_random_state=2001,100,2001,6458.561693191528,0.8039000034332275,0.6663370548248292
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.1_n=100_random_state=3001,100,3001,6375.442440986633,0.8772000074386597,0.4031792602539063
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.1_n=1000_random_state=1001,1000,1001,8615.586631059647,0.9401999711990356,0.2034033906698227
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.1_n=1000_random_state=2001,1000,2001,7670.6819479465485,0.9388999938964844,0.2077134990215301
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.1_n=1000_random_state=3001,1000,3001,7783.99757027626,0.9431999921798706,0.1996424293756485
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.1_n=10000_random_state=1001,10000,1001,8661.175792694092,0.9722000360488892,0.0966585018076002
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.1_n=10000_random_state=2001,10000,2001,7794.9325313568115,0.9706999659538268,0.102451562166214
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.1_n=10000_random_state=3001,10000,3001,7608.887197256088,0.9722999930381776,0.1018439336195587
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.1_n=50000_random_state=1001,50000,1001,7643.6823098659515,0.9821999669075012,0.0596036531060934
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.1_n=50000_random_state=2001,50000,2001,7927.796848535538,0.981499969959259,0.0578415124833583
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.1_n=50000_random_state=3001,50000,3001,7620.185575962067,0.9823000431060792,0.0586776768364012
