criterion,model_name,n,random_state,runtime,test_acc,test_nll
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.1_n=510_random_state=1001,510,1001,3527.417533159256,0.7246344685554504,1.1631487959547242
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.1_n=510_random_state=2001,510,2001,3535.270845890045,0.7408732771873474,1.1299659981136208
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.1_n=510_random_state=3001,510,3001,3467.875796318054,0.7669868469238281,1.048833456274518
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.1_n=1020_random_state=1001,1020,1001,3465.315708875656,0.8711278438568115,0.5420756125239545
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.1_n=1020_random_state=2001,1020,2001,3504.0233850479126,0.8729615211486816,0.5296987219990649
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.1_n=1020_random_state=3001,1020,3001,3449.24756526947,0.8690057992935181,0.550669844497518
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.01_n=510_random_state=1001,510,1001,3451.4984261989594,0.8543583750724792,0.7667470928696545
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.01_n=510_random_state=2001,510,2001,3484.2234354019165,0.846106231212616,0.7465888603414284
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.01_n=510_random_state=3001,510,3001,3903.3971219062805,0.7922231554985046,1.0165706468265336
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.01_n=1020_random_state=1001,1020,1001,3887.3693611621857,0.9251267313957214,0.3677400397002009
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.01_n=1020_random_state=2001,1020,2001,3894.071762084961,0.923382580280304,0.3957912042921181
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.01_n=1020_random_state=3001,1020,3001,3811.8571610450745,0.8865962624549866,0.5483830128017142
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.001_n=510_random_state=1001,510,1001,3791.7109882831573,0.8020540475845337,1.1877847493257074
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.001_n=510_random_state=2001,510,2001,3798.357198238373,0.8284035325050354,0.967830610616476
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.001_n=510_random_state=3001,510,3001,3793.384224653244,0.7777713537216187,1.3341320865589308
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.001_n=1020_random_state=1001,1020,1001,3816.454839706421,0.8907767534255981,0.75764319846874
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.001_n=1020_random_state=2001,1020,2001,3559.0626487731934,0.8876661062240601,0.7565976161504302
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.001_n=1020_random_state=3001,1020,3001,3465.8541765213013,0.8502675294876099,1.020246542024504
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.0001_n=510_random_state=1001,510,1001,3507.4213292598724,0.3968496918678283,3.739364635733052
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.0001_n=510_random_state=2001,510,2001,3478.003689289093,0.4193369150161743,3.683107230697809
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.0001_n=510_random_state=3001,510,3001,3496.506322622299,0.292115181684494,3.939667338955827
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.0001_n=1020_random_state=1001,1020,1001,3740.5880651474,0.4260449111461639,3.679458049200943
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.0001_n=1020_random_state=2001,1020,2001,3507.8392968177795,0.401796817779541,3.695310458301005
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.0001_n=1020_random_state=3001,1020,3001,3535.558248281479,0.2497836947441101,4.006987637398708
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.1_n=510_random_state=1001,510,1001,3914.938862323761,0.8798017501831055,0.6099356488592934
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.1_n=510_random_state=2001,510,2001,3749.4184222221375,0.9049491286277772,0.4920436120913908
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.1_n=510_random_state=3001,510,3001,3746.945880651474,0.8926389217376709,0.5520798445288938
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.1_n=1020_random_state=1001,1020,1001,3994.2748594284058,0.9578078389167786,0.2281811303683419
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.1_n=1020_random_state=2001,1020,2001,3410.0083611011505,0.9570127129554749,0.2336219061641025
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.1_n=1020_random_state=3001,1020,3001,3452.5375051498413,0.9583197832107544,0.2299587762819027
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.01_n=510_random_state=1001,510,1001,3443.4139342308044,0.8766905069351196,0.6195945503318295
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.01_n=510_random_state=2001,510,2001,3475.9667654037476,0.8798226714134216,0.5737780463519954
