criterion,model_name,n,random_state,runtime,test_acc,test_nll
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.1_n=510_random_state=1001,510,1001,1535.9065353870392,0.7552163600921631,1.331653265412464
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.1_n=510_random_state=2001,510,2001,1488.3161725997925,0.7671058773994446,1.2462549075486695
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.1_n=510_random_state=3001,510,3001,1713.466016292572,0.7780953049659729,1.1853610954719511
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.1_n=1020_random_state=1001,1020,1001,1468.4380295276642,0.8723803758621216,0.6979420402684476
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.1_n=1020_random_state=2001,1020,2001,1758.7960646152496,0.882193922996521,0.6759216997934213
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.1_n=1020_random_state=3001,1020,3001,1490.440132856369,0.8764483332633972,0.6900876620652634
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.01_n=510_random_state=1001,510,1001,1488.938826084137,0.8236087560653687,1.0265922040924989
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.01_n=510_random_state=2001,510,2001,1533.9052946567535,0.8220113515853882,0.966600297604427
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.01_n=510_random_state=3001,510,3001,1483.3255648612976,0.8297076225280762,0.9941963331171374
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.01_n=1020_random_state=1001,1020,1001,1668.5576846599579,0.9074137806892396,0.5551191254314911
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.01_n=1020_random_state=2001,1020,2001,1739.8299307823181,0.9051563143730164,0.548247554101829
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.01_n=1020_random_state=3001,1020,3001,1742.4612069129944,0.910840630531311,0.5473844062401853
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.001_n=510_random_state=1001,510,1001,1500.584415435791,0.8343449831008911,0.9434317654469164
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.001_n=510_random_state=2001,510,2001,1498.1754779815674,0.8409332633018494,0.889574647053972
