criterion,model_name,n,random_state,runtime,test_acc,test_nll
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.1_n=510_random_state=1001,510,1001,8199.781715393066,0.6935791373252869,1.544356131383047
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.1_n=510_random_state=2001,510,2001,8147.0907661914825,0.7290302515029907,1.4066384432470536
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.1_n=510_random_state=3001,510,3001,8112.784638404846,0.7357398271560669,1.3635476851418729
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.1_n=1020_random_state=1001,1020,1001,7239.573897361755,0.8285929560661316,0.8633703667350003
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.1_n=1020_random_state=2001,1020,2001,8178.386810541153,0.8366426825523376,0.83437997848159
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.1_n=1020_random_state=3001,1020,3001,8129.7383596897125,0.8411210775375366,0.8420886336438809
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.01_n=510_random_state=1001,510,1001,8510.814276218414,0.7903698682785034,1.183655601581881
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.01_n=510_random_state=2001,510,2001,7236.339422702789,0.8050167560577393,1.2052330631107833
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.01_n=510_random_state=3001,510,3001,7344.496456861496,0.8206892609596252,1.0808486384208622
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.01_n=1020_random_state=1001,1020,1001,7680.809094905853,0.8893247246742249,0.6511680869275642
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.01_n=1020_random_state=2001,1020,2001,8106.2212064266205,0.8903635144233704,0.6783199845474706
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.01_n=1020_random_state=3001,1020,3001,8151.01047372818,0.8944218754768372,0.6310260539075034
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.001_n=510_random_state=1001,510,1001,8135.1216452121735,0.8246498703956604,1.0946715612259508
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.001_n=510_random_state=2001,510,2001,8142.0700097084045,0.834602415561676,1.0966747758795254
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.001_n=510_random_state=3001,510,3001,8106.210475206375,0.8481884598731995,1.00923412309311
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.001_n=1020_random_state=1001,1020,1001,8151.37722826004,0.9136683344841005,0.5788281785993966
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.001_n=1020_random_state=2001,1020,2001,8164.695394039154,0.9100962281227112,0.600494787889412
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.001_n=1020_random_state=3001,1020,3001,8201.030639886856,0.9161390662193298,0.5600714992848735
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.0001_n=510_random_state=1001,510,1001,7257.706499814987,0.5465413331985474,3.2892090412713126
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.0001_n=510_random_state=2001,510,2001,8146.600239276886,0.5790649652481079,3.2137085913371077
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.0001_n=510_random_state=3001,510,3001,8135.006174564362,0.6248303055763245,3.0985303367903856
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.0001_n=1020_random_state=1001,1020,1001,8179.0206134319305,0.5980018973350525,3.1475124338968614
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.0001_n=1020_random_state=2001,1020,2001,8146.53489947319,0.6115041375160217,3.1725405790608465
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.0001_n=1020_random_state=3001,1020,3001,8190.288775682449,0.6323201656341553,3.112592096890177
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.1_n=510_random_state=1001,510,1001,8205.127729177475,0.7465031743049622,1.1885759287063504
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.1_n=510_random_state=2001,510,2001,7407.492742538452,0.7769670486450195,1.1058648377002638
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.1_n=510_random_state=3001,510,3001,7286.207290887833,0.7880674600601196,1.0147012659428971
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.1_n=1020_random_state=1001,1020,1001,7213.361686706543,0.880014955997467,0.5576912067948095
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.1_n=1020_random_state=2001,1020,2001,7260.328773498535,0.8824428915977478,0.5786371940053524
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.1_n=1020_random_state=3001,1020,3001,7261.393095731735,0.8765190839767456,0.5715766835743904
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.01_n=510_random_state=1001,510,1001,7349.978870153427,0.7908042669296265,1.040784873338536
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.01_n=510_random_state=2001,510,2001,7234.922127485275,0.8120704889297485,1.03468935839392
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.01_n=510_random_state=3001,510,3001,7940.83008980751,0.8287317752838135,0.9398722859451802
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.01_n=1020_random_state=1001,1020,1001,8597.407232761383,0.8926671147346497,0.5529140275893203
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.01_n=1020_random_state=2001,1020,2001,7251.269439935684,0.8956763744354248,0.5629106153509716
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.01_n=1020_random_state=3001,1020,3001,7219.20462846756,0.899392306804657,0.516868737053534
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.001_n=510_random_state=1001,510,1001,7165.706738471985,0.8209885358810425,1.0296847203976356
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.001_n=510_random_state=2001,510,2001,8130.529960155487,0.8296798467636108,1.0289707886899349
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.001_n=510_random_state=3001,510,3001,8174.161643981934,0.8461469411849976,0.9408723706151436
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.001_n=1020_random_state=1001,1020,1001,8213.827674865723,0.9129236936569214,0.5353257495429501
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.001_n=1020_random_state=2001,1020,2001,7296.485273361206,0.9094865322113036,0.5560405122873201
