criterion,model_name,n,random_state,runtime,test_acc,test_nll
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.1_n=370_random_state=1001,370,1001,1370.007978439331,0.7498857975006104,0.9609201678010676
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.1_n=370_random_state=2001,370,2001,1408.1237194538116,0.7559249401092529,0.9521580271384278
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.1_n=370_random_state=3001,370,3001,1401.9890894889832,0.7661924362182617,0.9337975724772104
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.1_n=3441_random_state=1001,3441,1001,1400.8162360191345,0.9287619590759276,0.27990049111783
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.1_n=3441_random_state=2001,3441,2001,1403.4077563285828,0.9273605942726136,0.2771364107289376
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.1_n=3441_random_state=3001,3441,3001,1597.2147343158722,0.9320469498634338,0.2755237762245374
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.01_n=370_random_state=1001,370,1001,1486.7614538669586,0.8780387043952942,0.4867130556034925
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.01_n=370_random_state=2001,370,2001,1490.495022058487,0.8718621134757996,0.5038769452927321
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.01_n=370_random_state=3001,370,3001,1498.612820148468,0.8758366703987122,0.4570112761143574
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.01_n=3441_random_state=1001,3441,1001,1499.2077939510345,0.9282352924346924,0.2643136049984553
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.01_n=3441_random_state=2001,3441,2001,1486.654093503952,0.9285277724266052,0.2776103235819776
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.01_n=3441_random_state=3001,3441,3001,1477.7180993556976,0.9273910522460938,0.2718420517695604
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.001_n=370_random_state=1001,370,1001,1404.513955116272,0.8925573825836182,0.4205351275452544
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.001_n=370_random_state=2001,370,2001,1866.5847783088684,0.8826082348823547,0.4362177397354191
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.001_n=370_random_state=3001,370,3001,1582.8073735237122,0.8882198333740234,0.3979470134614014
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.001_n=3441_random_state=1001,3441,1001,2262.706042766571,0.933225393295288,0.238858551430699
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.001_n=3441_random_state=2001,3441,2001,1750.3615012168884,0.9298568367958068,0.2469331115975662
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.001_n=3441_random_state=3001,3441,3001,1703.4758489131927,0.929269015789032,0.2423317309892382
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.0001_n=370_random_state=1001,370,1001,1608.3792316913605,0.8907685279846191,0.8292138393502302
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.0001_n=370_random_state=2001,370,2001,1588.5903823375702,0.877880871295929,0.8081883585040398
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.0001_n=370_random_state=3001,370,3001,1683.3738613128662,0.8886195421218872,0.8143881428108516
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.0001_n=3441_random_state=1001,3441,1001,1360.3035616874695,0.8681733012199402,0.9076401825723156
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.0001_n=3441_random_state=2001,3441,2001,1395.0051629543304,0.8697580099105835,0.906823914783402
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.0001_n=3441_random_state=3001,3441,3001,1409.3969459533691,0.8684130907058716,0.9053628500231156
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.1_n=370_random_state=1001,370,1001,1418.1241631507874,0.8870596885681152,0.4092876883525717
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.1_n=370_random_state=2001,370,2001,1399.0037121772766,0.869562566280365,0.4469709836106984
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.1_n=370_random_state=3001,370,3001,1402.1208415031433,0.8777433037757874,0.3913289485552569
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.1_n=3441_random_state=1001,3441,1001,1404.5713748931885,0.9318212866783142,0.2586850897736723
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.1_n=3441_random_state=2001,3441,2001,1400.8197519779205,0.929152011871338,0.2588378319231974
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.1_n=3441_random_state=3001,3441,3001,1413.5945999622345,0.9310243725776672,0.2559438980009095
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.01_n=370_random_state=1001,370,1001,1405.908727645874,0.8882806897163391,0.3971941957580731
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.01_n=370_random_state=2001,370,2001,1581.9877252578735,0.8784833550453186,0.4186297968541708
