criterion,model_name,n,random_state,runtime,test_acc,test_nll
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.1_n=370_random_state=1001,370,1001,3511.97870016098,0.8139544129371643,0.6937951436746053
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.1_n=370_random_state=2001,370,2001,3538.997455596924,0.8041608929634094,0.8200587580398306
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.1_n=370_random_state=3001,370,3001,3527.327836036682,0.8012946248054504,0.7524517572163301
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.1_n=3441_random_state=1001,3441,1001,3535.7607955932617,0.9326292872428894,0.2583408363267037
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.1_n=3441_random_state=2001,3441,2001,3517.7023298740387,0.9296584129333496,0.2685678326797667
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.1_n=3441_random_state=3001,3441,3001,3510.040387868881,0.9335293173789978,0.2660748498901647
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.01_n=370_random_state=1001,370,1001,3489.399358034134,0.8707998394966125,0.4822199321835502
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.01_n=370_random_state=2001,370,2001,3973.1846873760223,0.8665358424186707,0.4640316705745648
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.01_n=370_random_state=3001,370,3001,3950.161150455475,0.8816587328910828,0.4015715076364973
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.01_n=3441_random_state=1001,3441,1001,3507.109171628952,0.9395910501480104,0.230717464956577
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.01_n=3441_random_state=2001,3441,2001,3571.1875505447388,0.9398754835128784,0.2243455297403234
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.01_n=3441_random_state=3001,3441,3001,3511.917901992798,0.93737131357193,0.227940644733821
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.001_n=370_random_state=1001,370,1001,3484.1259932518005,0.8754634261131287,0.4378054162335595
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.001_n=370_random_state=2001,370,2001,3475.4917409420013,0.8775100708007812,0.4070472360372088
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.001_n=370_random_state=3001,370,3001,3454.2605504989624,0.8872896432876587,0.370378862461291
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.001_n=3441_random_state=1001,3441,1001,3487.911143541336,0.9351977109909058,0.2161318575773001
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.001_n=3441_random_state=2001,3441,2001,3993.823917865753,0.9346766471862792,0.2061530814776956
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.001_n=3441_random_state=3001,3441,3001,3971.8057980537415,0.9317596554756165,0.2228586191164761
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.0001_n=370_random_state=1001,370,1001,3510.348677635193,0.8052917718887329,1.5837278370312688
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.0001_n=370_random_state=2001,370,2001,3492.6724138259888,0.7914571762084961,1.699193321706554
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.0001_n=370_random_state=3001,370,3001,3472.2594816684723,0.8146383166313171,1.5683319403904925
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.0001_n=3441_random_state=1001,3441,1001,3487.3268599510193,0.8143944144248962,1.4329799149529625
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.0001_n=3441_random_state=2001,3441,2001,3484.471382856369,0.7733543515205383,1.6327178887626916
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.0001_n=3441_random_state=3001,3441,3001,3987.2714343070984,0.774400532245636,1.4874657635209214
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.1_n=370_random_state=1001,370,1001,3453.388531446457,0.904615879058838,0.3097880430307375
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.1_n=370_random_state=2001,370,2001,3950.652328491211,0.8979609608650208,0.3385792600950969
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.1_n=370_random_state=3001,370,3001,3952.7624232769012,0.9056350588798524,0.2856230080994818
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.1_n=3441_random_state=1001,3441,1001,3958.4619140625,0.9415759444236756,0.17718840731218
