criterion,model_name,n,random_state,runtime,test_acc,test_nll
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.1_n=370_random_state=1001,370,1001,8236.058403015137,0.8559845685958862,0.6010181873784985
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.1_n=370_random_state=2001,370,2001,8351.805157661438,0.8473851084709167,0.6446356553717348
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.1_n=370_random_state=3001,370,3001,8153.235351085663,0.8565324544906616,0.5907245042392948
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.1_n=3441_random_state=1001,3441,1001,8378.49933052063,0.9319607019424438,0.2725687847841042
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.1_n=3441_random_state=2001,3441,2001,8124.339251756668,0.926048219203949,0.2976344309926935
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.1_n=3441_random_state=3001,3441,3001,8444.131999015808,0.9294196963310242,0.2819250228528708
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.01_n=370_random_state=1001,370,1001,8084.385945081711,0.8841594457626343,0.423210089233785
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.01_n=370_random_state=2001,370,2001,8427.587893247604,0.8776702880859375,0.4546307677768108
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.01_n=370_random_state=3001,370,3001,8152.805047035217,0.8739522695541382,0.4922911391976046
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.01_n=3441_random_state=1001,3441,1001,8420.388523578644,0.9283796548843384,0.2809659469173142
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.01_n=3441_random_state=2001,3441,2001,8149.295918226242,0.9270206689834596,0.2861398816307711
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.01_n=3441_random_state=3001,3441,3001,8354.170679092407,0.932225227355957,0.2893408411470567
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.001_n=370_random_state=1001,370,1001,7389.2517766952515,0.8963105082511902,0.3500950573751909
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.001_n=370_random_state=2001,370,2001,8481.566943407059,0.8924567699432373,0.3777754970583288
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.001_n=370_random_state=3001,370,3001,8184.577538251877,0.8862016201019287,0.3891074868732885
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.001_n=3441_random_state=1001,3441,1001,8547.862569332123,0.9302163124084472,0.2343193992330678
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.001_n=3441_random_state=2001,3441,2001,7210.569876909256,0.9319263696670532,0.2359698447948395
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.001_n=3441_random_state=3001,3441,3001,8584.537467241287,0.9325482845306396,0.2475800152150185
