criterion,model_name,n,random_state,runtime,val_acc,val_nll
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.1_n=40_random_state=1001,40,1001,7588.864358663559,0.5,0.8993622064590454
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.1_n=40_random_state=2001,40,2001,7683.522150039673,0.875,0.2050314992666244
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.1_n=40_random_state=3001,40,3001,7578.948735952377,0.625,1.0732936263084412
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.1_n=400_random_state=1001,400,1001,7466.411004304886,0.8624999523162842,0.1104293659329414
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.1_n=400_random_state=2001,400,2001,7632.31721329689,0.8374999761581421,0.1286630742251873
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.1_n=400_random_state=3001,400,3001,7619.093753576279,0.8374999761581421,0.1241756916046142
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.1_n=4000_random_state=1001,4000,1001,7940.249286174774,0.8812500238418579,0.07214843345806
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.1_n=4000_random_state=2001,4000,2001,7321.444885015488,0.9074999690055848,0.0529617951298132
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.1_n=4000_random_state=3001,4000,3001,7554.1653599739075,0.8612499833106995,0.0820317939296364
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.1_n=40000_random_state=1001,40000,1001,7640.077052593231,0.937624990940094,0.01976821205343
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.1_n=40000_random_state=2001,40000,2001,7820.833804607391,0.9105000495910645,0.0262378853573463
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.1_n=40000_random_state=3001,40000,3001,7704.65167760849,0.9365000128746032,0.0204041830961359
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.1_n=120000_random_state=1001,120000,1001,7719.09356880188,0.9426666498184204,0.0158448941229143
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.1_n=120000_random_state=2001,120000,2001,7540.239247083664,0.9329999685287476,0.0181665183462901
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.1_n=120000_random_state=3001,120000,3001,7519.0554485321045,0.9357500076293944,0.0179335844916058
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.01_n=40_random_state=1001,40,1001,7721.825001955032,0.625,0.9601005613803864
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.01_n=40_random_state=2001,40,2001,7554.250239133835,0.75,0.5833195745944977
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.01_n=40_random_state=3001,40,3001,7574.71723484993,0.625,0.5323641300201416
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.01_n=400_random_state=1001,400,1001,7745.580905914307,0.8875000476837158,0.096341635286808
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.01_n=400_random_state=2001,400,2001,7716.797823905945,0.8500000238418579,0.1284654524177312
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.01_n=400_random_state=3001,400,3001,7529.215286970139,0.8374999761581421,0.1082930132746696
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.01_n=4000_random_state=1001,4000,1001,7640.137962341309,0.9037500619888306,0.0553892613225616
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.01_n=4000_random_state=2001,4000,2001,7526.375079870224,0.9112499952316284,0.0508672311334521
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.01_n=4000_random_state=3001,4000,3001,7629.723772525787,0.8862500190734863,0.0697857381996436
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.01_n=40000_random_state=1001,40000,1001,7522.562080144882,0.9334999918937684,0.0278434922625238
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.01_n=40000_random_state=2001,40000,2001,7557.201778173447,0.9296250343322754,0.0296308854124654
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.01_n=40000_random_state=3001,40000,3001,7711.300126552582,0.9332500100135804,0.0268462969090032
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.01_n=120000_random_state=1001,120000,1001,7324.965479135513,0.9460833072662354,0.0159975601571495
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.01_n=120000_random_state=2001,120000,2001,7539.215726137161,0.9416250586509703,0.0171219498184218
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.01_n=120000_random_state=3001,120000,3001,7499.299721240997,0.9455000162124634,0.0162195743807242
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.001_n=40_random_state=1001,40,1001,7629.407589435577,0.5,0.7721360921859741
