criterion,model_name,n,random_state,runtime,val_acc,val_nll,val_bma_acc,val_clml
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.1_n=100_random_state=1001,100,1001,4265.031450748444,0.6499999761581421,1.2276818752288818,0.65,-1.0045867819539542
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.1_n=100_random_state=2001,100,2001,4184.095315217972,0.6000000238418579,1.9578664302825928,0.6,-1.2545127529851432
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.1_n=100_random_state=3001,100,3001,4131.325726032257,0.75,0.7070956230163574,0.75,-1.0535753626576896
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.01_n=100_random_state=1001,100,1001,3621.107876777649,0.6500000357627869,1.6808016300201416,0.65,-1.2972131628743644
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.01_n=100_random_state=2001,100,2001,3627.8801503181458,0.6499999761581421,1.673853635787964,0.7,-1.5056441683522697
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.01_n=100_random_state=3001,100,3001,3885.955273628235,0.75,0.9079998135566713,0.7,-1.3025970120183463
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.001_n=100_random_state=1001,100,1001,3636.197116613388,0.6500000357627869,1.1523797512054443,0.7,-1.5884246487370963
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.001_n=100_random_state=2001,100,2001,4025.5754215717316,0.550000011920929,1.9878809452056885,0.55,-1.8035252947560785
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.001_n=100_random_state=3001,100,3001,3719.693343400955,0.7000000476837158,0.8300925493240356,0.7,-2.080855097269201
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.0001_n=100_random_state=1001,100,1001,3546.4846115112305,0.6499999761581421,1.2159911394119265,0.65,-7.388533081506871
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.0001_n=100_random_state=2001,100,2001,3559.907876729965,0.550000011920929,1.4574742317199707,0.55,-6.83489676902213
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.0001_n=100_random_state=3001,100,3001,4041.5478110313416,0.75,0.9663090705871582,0.75,-5.63651939818778
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.1_n=100_random_state=1001,100,1001,3611.994717359543,0.75,0.684060275554657,0.75,-0.8963119644872184
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.1_n=100_random_state=2001,100,2001,3873.1948442459106,0.75,1.0853813886642456,0.75,-0.8966130871526237
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.1_n=100_random_state=3001,100,3001,3521.3110580444336,0.9500000476837158,0.217802494764328,0.95,-0.9471470970860952
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.01_n=100_random_state=1001,100,1001,3615.30645942688,0.6000000238418579,1.2693074941635132,0.6,-1.0722686905614371
