criterion,model_name,n,random_state,runtime,val_acc,val_nll,val_bma_acc,val_clml
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.1_n=1000_random_state=1001,1000,1001,3731.2347803115845,0.95,0.1572699928283691,0.95,-0.2046322164015519
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.1_n=1000_random_state=2001,1000,2001,3620.225998878479,0.94,0.234846613407135,0.94,-0.2978381452040421
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.1_n=1000_random_state=3001,1000,3001,3627.4402260780334,0.97,0.0982103392481804,0.97,-0.1725706395582902
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.01_n=1000_random_state=1001,1000,1001,3632.1392414569855,0.955,0.1780183398723602,0.955,-0.2137297925429093
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.01_n=1000_random_state=2001,1000,2001,3604.9829165935516,0.925,0.2760011804103851,0.925,-0.2276324567274796
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.01_n=1000_random_state=3001,1000,3001,3601.768231153488,0.95,0.1180695766210556,0.965,-0.4074863728956925
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.001_n=1000_random_state=1001,1000,1001,3594.3837056159973,0.9,0.4123300242424011,0.9,-0.4942092236952531
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.001_n=1000_random_state=2001,1000,2001,3589.903927087784,0.8850000000000001,0.387369886636734,0.8850000000000001,-0.4350580510573136
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.001_n=1000_random_state=3001,1000,3001,3641.977676153183,0.93,0.1827479612827301,0.935,-0.9991540250258196
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.0001_n=1000_random_state=1001,1000,1001,3608.736750125885,0.73,0.941148920059204,0.73,-6.773576312966799
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.0001_n=1000_random_state=2001,1000,2001,3613.1738917827606,0.8150000000000001,0.7514020967483521,0.82,-5.638642245240663
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.0001_n=1000_random_state=3001,1000,3001,3599.9343407154083,0.9,0.5696355533599854,0.9,-4.301109605737184
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.1_n=1000_random_state=1001,1000,1001,3570.883605003357,0.9549999999999998,0.1465322464704513,0.9549999999999998,-0.2606410321669328
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.1_n=1000_random_state=2001,1000,2001,3588.3679871559143,0.94,0.2067052102088928,0.945,-0.2949499425368058
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.1_n=1000_random_state=3001,1000,3001,3605.349596261978,0.98,0.0551723399758338,0.985,-0.2442836102919328
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.01_n=1000_random_state=1001,1000,1001,3582.6644570827484,0.96,0.1832965987920761,0.96,-0.314502650208925
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.01_n=1000_random_state=2001,1000,2001,3471.9797570705414,0.945,0.2160275608301162,0.945,-0.1876410779432999
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.01_n=1000_random_state=3001,1000,3001,3736.262635707855,0.985,0.0488223773241043,0.985,-0.2651161488966691
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.001_n=1000_random_state=1001,1000,1001,3641.1458332538605,0.9,0.4128008782863617,0.9,-0.4670733746962296
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.001_n=1000_random_state=2001,1000,2001,3617.526527404785,0.8850000000000001,0.3886759150028228,0.8850000000000001,-0.4153904256300675
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.001_n=1000_random_state=3001,1000,3001,3651.7199790477753,0.93,0.1804875952005386,0.935,-0.3284615811781632
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.0001_n=1000_random_state=1001,1000,1001,3619.854480743408,0.73,0.9410345125198364,0.73,-6.755519085832094
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.0001_n=1000_random_state=2001,1000,2001,3606.042797088623,0.8150000000000001,0.751025071144104,0.82,-5.62729578585193
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.0001_n=1000_random_state=3001,1000,3001,3627.0518050193787,0.9,0.5690795230865479,0.9,-4.290141993470644
l2-sp,l2-sp_alpha=0.01_beta=0.0001_lr_0=0.1_n=1000_random_state=1001,1000,1001,3616.71586227417,0.945,0.2270167517662048,0.945,-0.1727852162794816
l2-sp,l2-sp_alpha=0.01_beta=0.0001_lr_0=0.1_n=1000_random_state=2001,1000,2001,3636.1304652690887,0.94,0.2883274853229522,0.94,-0.1861390408949601
l2-sp,l2-sp_alpha=0.01_beta=0.0001_lr_0=0.1_n=1000_random_state=3001,1000,3001,3650.3008687496185,0.965,0.0752343440055847,0.965,-0.2347435292677628
l2-sp,l2-sp_alpha=0.01_beta=0.0001_lr_0=0.01_n=1000_random_state=1001,1000,1001,3680.455327272415,0.955,0.1888643312454223,0.96,-0.3091134366469132
l2-sp,l2-sp_alpha=0.01_beta=0.0001_lr_0=0.01_n=1000_random_state=2001,1000,2001,3903.0686588287354,0.95,0.2214321440458297,0.95,-0.1698364552931535
l2-sp,l2-sp_alpha=0.01_beta=0.0001_lr_0=0.01_n=1000_random_state=3001,1000,3001,3702.4398341178894,0.98,0.0499592831730842,0.98,-0.282891207643007
l2-sp,l2-sp_alpha=0.01_beta=0.0001_lr_0=0.001_n=1000_random_state=1001,1000,1001,3650.703628063202,0.9,0.4127822411060333,0.9,-0.4653395947890031
l2-sp,l2-sp_alpha=0.01_beta=0.0001_lr_0=0.001_n=1000_random_state=2001,1000,2001,3668.2194135189056,0.8850000000000001,0.3888331341743469,0.89,-0.4141558942274796
l2-sp,l2-sp_alpha=0.01_beta=0.0001_lr_0=0.001_n=1000_random_state=3001,1000,3001,3672.087663412094,0.935,0.1802907013893127,0.935,-0.3263649281935441
l2-sp,l2-sp_alpha=0.01_beta=0.0001_lr_0=0.0001_n=1000_random_state=1001,1000,1001,3652.2904419898987,0.73,0.9410286331176758,0.73,-6.750599318452333
l2-sp,l2-sp_alpha=0.01_beta=0.0001_lr_0=0.0001_n=1000_random_state=2001,1000,2001,3521.009845972061,0.8150000000000001,0.7509817957878113,0.82,-5.626188331552004
l2-sp,l2-sp_alpha=0.01_beta=0.0001_lr_0=0.0001_n=1000_random_state=3001,1000,3001,3641.5639069080353,0.9,0.5690216326713562,0.9,-4.288924032159303
l2-sp,l2-sp_alpha=0.01_beta=1e-05_lr_0=0.1_n=1000_random_state=1001,1000,1001,3699.9711713790894,0.945,0.213686066865921,0.945,-0.1802534398512589
l2-sp,l2-sp_alpha=0.01_beta=1e-05_lr_0=0.1_n=1000_random_state=2001,1000,2001,3653.6544234752655,0.935,0.2571751099824905,0.935,-0.4984096822218644
l2-sp,l2-sp_alpha=0.01_beta=1e-05_lr_0=0.1_n=1000_random_state=3001,1000,3001,3670.4486486911774,0.98,0.0911723113059997,0.98,-0.1451143559889542
l2-sp,l2-sp_alpha=0.01_beta=1e-05_lr_0=0.01_n=1000_random_state=1001,1000,1001,3615.3495256900787,0.9549999999999998,0.1957208579778671,0.955,-0.7062696752028215
l2-sp,l2-sp_alpha=0.01_beta=1e-05_lr_0=0.01_n=1000_random_state=2001,1000,2001,3661.4267580509186,0.9399999999999998,0.2370781707763672,0.9399999999999998,-0.1816100415663468
l2-sp,l2-sp_alpha=0.01_beta=1e-05_lr_0=0.01_n=1000_random_state=3001,1000,3001,3621.27689576149,0.98,0.0537727196514606,0.98,-0.6750134763197648
l2-sp,l2-sp_alpha=0.01_beta=1e-05_lr_0=0.001_n=1000_random_state=1001,1000,1001,3621.583974123001,0.9,0.4121039521694183,0.9,-0.4712533292250382
l2-sp,l2-sp_alpha=0.01_beta=1e-05_lr_0=0.001_n=1000_random_state=2001,1000,2001,3630.6142163276672,0.8850000000000001,0.3888624310493469,0.89,-0.4192246732191789
