criterion,model_name,n,random_state,runtime,val_acc,val_nll
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.1_n=100_random_state=1001,100,1001,3010.532871246338,0.6500000357627869,1.1792467832565308
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.1_n=100_random_state=2001,100,2001,2659.5152127742767,0.6500000953674316,1.8610814809799197
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.1_n=100_random_state=3001,100,3001,2664.3302500247955,0.8500000834465027,0.5712864995002747
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.1_n=1000_random_state=1001,1000,1001,4700.897849321365,0.949999988079071,0.1597203376889228
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.1_n=1000_random_state=2001,1000,2001,6381.561644554138,0.955000102519989,0.230202248096466
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.1_n=1000_random_state=3001,1000,3001,4789.19557929039,0.975000023841858,0.0903804737329483
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.1_n=10000_random_state=1001,10000,1001,4039.7586891651154,0.9644999504089355,0.1046899380683898
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.1_n=10000_random_state=2001,10000,2001,4061.2937552928925,0.9664999842643738,0.1082347628176212
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.1_n=10000_random_state=3001,10000,3001,4030.5389688014984,0.9714999198913574,0.1032479918003082
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.1_n=50000_random_state=1001,50000,1001,4175.918145656586,0.979699969291687,0.0598502398401498
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.1_n=50000_random_state=2001,50000,2001,4599.248359441757,0.9804999828338624,0.0589527527116239
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.1_n=50000_random_state=3001,50000,3001,4031.0273926258087,0.9805000424385072,0.0635431291952729
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.01_n=100_random_state=1001,100,1001,2641.406347990036,0.6500000357627869,1.6449668407440186
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.01_n=100_random_state=2001,100,2001,2639.69295334816,0.7000000476837158,1.7618719339370728
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.01_n=100_random_state=3001,100,3001,2641.186827659607,0.7500000596046448,0.9155282974243164
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.01_n=1000_random_state=1001,1000,1001,4656.193769931793,0.9499999284744264,0.1854434356093406
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.01_n=1000_random_state=2001,1000,2001,4586.543020486832,0.9300000071525574,0.2549592244625092
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.01_n=1000_random_state=3001,1000,3001,4577.482703924179,0.9599999189376832,0.1032485109567642
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.01_n=10000_random_state=1001,10000,1001,3968.778952598572,0.9645000696182252,0.1123708637952804
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.01_n=10000_random_state=2001,10000,2001,3995.0661725997925,0.969499945640564,0.109918052226305
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.01_n=10000_random_state=3001,10000,3001,3956.8146584033966,0.9669999480247498,0.1116434321999549
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.01_n=50000_random_state=1001,50000,1001,4618.2499051094055,0.979300022125244,0.0618973170831799
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.01_n=50000_random_state=2001,50000,2001,4535.283966302872,0.979099988937378,0.0649121900327503
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.01_n=50000_random_state=3001,50000,3001,4174.654593706131,0.9805000424385072,0.0631776835978031
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.001_n=100_random_state=1001,100,1001,2650.03634929657,0.7000001072883606,1.1314752101898191
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.001_n=100_random_state=2001,100,2001,2694.630497455597,0.550000011920929,1.9895036220550537
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.001_n=100_random_state=3001,100,3001,2634.3736782073975,0.7000000476837158,0.8520516157150269
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.001_n=1000_random_state=1001,1000,1001,4626.850511789322,0.8999999165534973,0.412243275642395
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.001_n=1000_random_state=2001,1000,2001,4546.851685762405,0.8849998712539673,0.3873613822460174
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.001_n=1000_random_state=3001,1000,3001,4573.762228727341,0.9300000071525574,0.1827039968967437
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.001_n=10000_random_state=1001,10000,1001,4380.462556838989,0.9549999833106996,0.1419236365556717
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.001_n=10000_random_state=2001,10000,2001,4275.073056936264,0.9555000066757202,0.1378293632268905
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.001_n=10000_random_state=3001,10000,3001,4423.526385068893,0.9549999833106996,0.1362601349949836
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.001_n=50000_random_state=1001,50000,1001,4525.925343990326,0.963699996471405,0.113520291429758
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.001_n=50000_random_state=2001,50000,2001,4437.730562448502,0.9603000283241272,0.1199916589021683
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.001_n=50000_random_state=3001,50000,3001,4123.489968061447,0.9630999565124512,0.1123239109873771
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.0001_n=100_random_state=1001,100,1001,2625.9606347084045,0.6500000953674316,1.216644287109375
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.0001_n=100_random_state=2001,100,2001,3007.9057319164276,0.550000011920929,1.457585692405701
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.0001_n=100_random_state=3001,100,3001,2739.370432138443,0.7500000596046448,0.9658772349357604
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.0001_n=1000_random_state=1001,1000,1001,4604.162443161011,0.7299999594688416,0.9411428236961366
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.0001_n=1000_random_state=2001,1000,2001,4628.0409162044525,0.8149999380111694,0.7513958287239075
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.0001_n=1000_random_state=3001,1000,3001,4565.727735280991,0.8999999761581421,0.5696337270736694
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.0001_n=10000_random_state=1001,10000,1001,4171.422518253326,0.8420000076293945,0.7569567747116087
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.0001_n=10000_random_state=2001,10000,2001,4132.354368925095,0.8530000448226929,0.6811842355728149
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.0001_n=10000_random_state=3001,10000,3001,4116.675710439682,0.8615000247955322,0.5993616709709167
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.0001_n=50000_random_state=1001,50000,1001,5379.379474401474,0.8410000205039978,0.7482467916488649
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.0001_n=50000_random_state=2001,50000,2001,4167.181755542755,0.8632000684738159,0.6599268392562866
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.0001_n=50000_random_state=3001,50000,3001,4826.736542224884,0.8741999864578247,0.5843519483566285
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.1_n=100_random_state=1001,100,1001,2621.7674717903137,0.7500000596046448,0.7586364150047302
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.1_n=100_random_state=2001,100,2001,2594.2237372398376,0.7500001192092896,1.0582484006881714
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.1_n=100_random_state=3001,100,3001,2912.2095301151276,0.9000000953674316,0.165197879076004
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.1_n=1000_random_state=1001,1000,1001,4839.393707752228,0.9650000333786012,0.1383912539482116
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.1_n=1000_random_state=2001,1000,2001,6398.772449970245,0.9450000524520874,0.2213364803791046
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.1_n=1000_random_state=3001,1000,3001,4736.861286878586,0.9850001335144044,0.0546780385076999
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.1_n=10000_random_state=1001,10000,1001,4119.373059511185,0.9670000672340392,0.1111616348624229
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.1_n=10000_random_state=2001,10000,2001,4004.895348548889,0.9630000591278076,0.118629369482398
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.1_n=10000_random_state=3001,10000,3001,4002.014832019806,0.9690000414848328,0.1071727248430252
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.1_n=50000_random_state=1001,50000,1001,4037.6957499980927,0.9782000184059144,0.0640594670854509
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.1_n=50000_random_state=2001,50000,2001,4360.498744726181,0.9794000387191772,0.0629236137159169
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.1_n=50000_random_state=3001,50000,3001,4789.135397672653,0.9798999428749084,0.0629044461153447
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.01_n=100_random_state=1001,100,1001,2643.8966777324677,0.6000000834465027,1.249231219291687
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.01_n=100_random_state=2001,100,2001,2632.858073949814,0.6000000238418579,1.6960904598236084
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.01_n=100_random_state=3001,100,3001,2928.80921626091,0.8500000834465027,0.6106659770011902
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.01_n=1000_random_state=1001,1000,1001,4668.313856601715,0.9550000429153442,0.1842757439613342
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.01_n=1000_random_state=2001,1000,2001,4753.8263027668,0.9399999976158142,0.2286086463928222
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.01_n=1000_random_state=3001,1000,3001,4712.546900033951,0.980000138282776,0.0602599169313907
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.01_n=10000_random_state=1001,10000,1001,4771.4383456707,0.9640000462532043,0.1182359837293625
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.01_n=10000_random_state=2001,10000,2001,4728.642090320587,0.9670000076293944,0.1202158529162406
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.01_n=10000_random_state=3001,10000,3001,4678.640014886856,0.969499945640564,0.1173401629328727
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.01_n=50000_random_state=1001,50000,1001,6349.126659154892,0.9790000319480896,0.0639253417782485
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.01_n=50000_random_state=2001,50000,2001,4374.92809844017,0.9789000153541564,0.0658753556046635
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.01_n=50000_random_state=3001,50000,3001,4164.784700393677,0.9788999557495116,0.0652316022973507
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.001_n=100_random_state=1001,100,1001,2926.4261922836304,0.6500000953674316,1.1479551792144775
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.001_n=100_random_state=2001,100,2001,2631.358222723007,0.550000011920929,2.0449447631835938
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.001_n=100_random_state=3001,100,3001,2613.8312640190125,0.7000000476837158,0.8174037933349609
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.001_n=1000_random_state=1001,1000,1001,4649.118737220764,0.8999999165534973,0.4123060953617096
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.001_n=1000_random_state=2001,1000,2001,4842.229981422424,0.8849998712539673,0.3886578154563904
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.001_n=1000_random_state=3001,1000,3001,5487.032839536667,0.9300000071525574,0.1804984897375107
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.001_n=10000_random_state=1001,10000,1001,4733.286430835724,0.9549999833106996,0.1418138709068298
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.001_n=10000_random_state=2001,10000,2001,4729.56547832489,0.9555000066757202,0.1374615396857262
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.001_n=10000_random_state=3001,10000,3001,4714.622721195221,0.9549999833106996,0.1355767493844032
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.001_n=50000_random_state=1001,50000,1001,4552.0851991176605,0.9640000462532043,0.1128781325995922
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.001_n=50000_random_state=2001,50000,2001,4844.609432220459,0.9603999853134156,0.1194207879543304
