criterion,model_name,n,random_state,runtime,val_acc,val_nll
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.1_n=100_random_state=1001,100,1001,1381.3268721103668,0.4500000476837158,1.7069520950317385
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.1_n=100_random_state=2001,100,2001,1370.8018357753754,0.550000011920929,1.7055461406707764
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.1_n=100_random_state=3001,100,3001,1364.0314915180206,0.6000000238418579,1.417747139930725
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.1_n=1000_random_state=1001,1000,1001,2304.7698776721954,0.8899999260902405,0.3663074624538421
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.1_n=1000_random_state=2001,1000,2001,2115.7306537628174,0.8600000143051147,0.4638849759101867
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.1_n=1000_random_state=3001,1000,3001,2181.1533203125,0.9049999117851256,0.2862811183929443
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.1_n=10000_random_state=1001,10000,1001,2167.8034632205963,0.9495000243186952,0.1714412813186645
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.1_n=10000_random_state=2001,10000,2001,2119.8202183246613,0.943000078201294,0.180806594133377
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.1_n=10000_random_state=3001,10000,3001,2159.5446543693542,0.9540000557899476,0.1579377770423889
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.1_n=50000_random_state=1001,50000,1001,2209.033488512039,0.9696000218391418,0.0946586874365806
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.1_n=50000_random_state=2001,50000,2001,2201.904935836792,0.9697999954223632,0.0969217899233102
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.1_n=50000_random_state=3001,50000,3001,2117.223959207535,0.9684000611305236,0.0951666462779045
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.01_n=100_random_state=1001,100,1001,1288.3321540355682,0.550000011920929,1.283231496810913
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.01_n=100_random_state=2001,100,2001,1295.289490222931,0.5500000715255737,1.43058180809021
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.01_n=100_random_state=3001,100,3001,1376.7906067371368,0.5,1.2772481441497805
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.01_n=1000_random_state=1001,1000,1001,2316.003468990326,0.8599998950958252,0.4436603355407715
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.01_n=1000_random_state=2001,1000,2001,2299.57967877388,0.8249999284744263,0.566943097114563
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.01_n=1000_random_state=3001,1000,3001,2303.597907304764,0.8949999213218689,0.3318849456310272
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.01_n=10000_random_state=1001,10000,1001,2149.7078790664673,0.9334999322891236,0.2215172278881073
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.01_n=10000_random_state=2001,10000,2001,2086.7516956329346,0.930500030517578,0.2221222611665725
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.01_n=10000_random_state=3001,10000,3001,2140.3868680000305,0.9375,0.209334816455841
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.01_n=50000_random_state=1001,50000,1001,2145.9464812278748,0.9631999135017396,0.1221003666639327
