criterion,model_name,n,random_state,runtime,val_acc,val_nll
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.1_n=100_random_state=1001,100,1001,5210.895674705505,0.7500000596046448,1.0873521566390991
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.1_n=100_random_state=2001,100,2001,5299.994353532791,0.6500000357627869,1.4991168975830078
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.1_n=100_random_state=3001,100,3001,5235.514247179031,0.6500000357627869,1.251972794532776
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.1_n=1000_random_state=1001,1000,1001,7630.037131786346,0.9700000286102296,0.1252259486913681
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.1_n=1000_random_state=2001,1000,2001,7769.941787004471,0.9549999833106996,0.1828794145584106
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.1_n=1000_random_state=3001,1000,3001,8525.371405601501,0.9649999737739564,0.1337542927265167
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.1_n=10000_random_state=1001,10000,1001,7974.2509043216705,0.968500018119812,0.1225813636779785
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.1_n=10000_random_state=2001,10000,2001,7676.510399341583,0.9684999585151672,0.11409078758955
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.1_n=10000_random_state=3001,10000,3001,7658.7552897930145,0.9730000495910645,0.1071979125738144
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.1_n=50000_random_state=1001,50000,1001,8162.092738866806,0.9816000461578368,0.0585560548901558
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.1_n=50000_random_state=2001,50000,2001,7652.226242542267,0.979099988937378,0.068702059353888
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.1_n=50000_random_state=3001,50000,3001,7640.92981004715,0.9798999428749084,0.0650952516581863
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.01_n=100_random_state=1001,100,1001,5258.56468629837,0.7000000476837158,0.7638201117515564
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.01_n=100_random_state=2001,100,2001,6712.408612012863,0.7500000596046448,0.903233528137207
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.01_n=100_random_state=3001,100,3001,5254.979490280151,0.9000000953674316,0.4956049919128418
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.01_n=1000_random_state=1001,1000,1001,7789.9590718746185,0.9399998784065248,0.233719738125801
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.01_n=1000_random_state=2001,1000,2001,11993.658539295197,0.9399999976158142,0.2033867728710174
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.01_n=1000_random_state=3001,1000,3001,9773.259953022003,0.925000011920929,0.199468674659729
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.01_n=10000_random_state=1001,10000,1001,7734.32975769043,0.9645000100135804,0.1386800913810729
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.01_n=10000_random_state=2001,10000,2001,9561.725560426712,0.9629999995231628,0.1461232751607895
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.01_n=10000_random_state=3001,10000,3001,14335.860945940018,0.9650000929832458,0.1341140944361686
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.01_n=50000_random_state=1001,50000,1001,8308.142086744308,0.9810000658035278,0.0694680505469441
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.01_n=50000_random_state=2001,50000,2001,8309.401604175568,0.9796000123023988,0.0715358683107421
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.01_n=50000_random_state=3001,50000,3001,8315.15332198143,0.980400025844574,0.0759845988057553
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.001_n=100_random_state=1001,100,1001,7016.723642349243,0.7000000476837158,0.8008807301521301
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.001_n=100_random_state=2001,100,2001,6953.400485277176,0.7500000596046448,0.8461159467697144
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.001_n=100_random_state=3001,100,3001,6784.906629085541,0.9500001072883606,0.3083073794841766
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.001_n=1000_random_state=1001,1000,1001,10215.49497961998,0.959999978542328,0.1256279480457305
