criterion,model_name,n,random_state,runtime,val_acc,val_nll
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.1_n=510_random_state=1001,510,1001,4205.913055896759,0.6764706373214722,1.520704984664917
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.1_n=510_random_state=2001,510,2001,4244.474698066711,0.6960784792900085,1.2438560724258425
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.1_n=510_random_state=3001,510,3001,4012.4285292625427,0.7156863212585449,1.2576135396957395
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.1_n=1020_random_state=1001,1020,1001,4081.4612753391266,0.8431373238563538,0.675054787420759
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.1_n=1020_random_state=2001,1020,2001,4110.87956905365,0.8088235855102539,0.7796028560283137
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.1_n=1020_random_state=3001,1020,3001,4143.306657791138,0.8284313678741455,0.5980435007927465
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.01_n=510_random_state=1001,510,1001,3706.9780490398407,0.7254902720451355,1.1405013799667358
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.01_n=510_random_state=2001,510,2001,4147.189874172211,0.8529412150382996,0.7690566778182983
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.01_n=510_random_state=3001,510,3001,3692.131648540497,0.7941176891326904,1.1210633516311646
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.01_n=1020_random_state=1001,1020,1001,4699.118347167969,0.9264706373214722,0.3495602882375904
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.01_n=1020_random_state=2001,1020,2001,4370.061829090118,0.8823530077934265,0.5760383787108403
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.01_n=1020_random_state=3001,1020,3001,4181.1102521419525,0.8774511218070984,0.5367248929014393
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.001_n=510_random_state=1001,510,1001,3670.6425864696503,0.8137255907058716,1.264537334442139
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.001_n=510_random_state=2001,510,2001,3697.5962147712708,0.8039215803146362,1.0482252836227417
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.001_n=510_random_state=3001,510,3001,3767.4116015434265,0.7941176891326904,1.4166799783706665
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.001_n=1020_random_state=1001,1020,1001,3712.3661167621613,0.8774510622024536,0.7517412515247569
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.001_n=1020_random_state=2001,1020,2001,3756.749211549759,0.8529412150382996,0.8876889149347942
