criterion,model_name,n,random_state,runtime,val_acc,val_nll
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.1_n=510_random_state=1001,510,1001,8455.921388149261,0.6470588445663452,1.6656746864318848
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.1_n=510_random_state=2001,510,2001,8479.431962013245,0.7254902124404907,1.2177165746688845
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.1_n=510_random_state=3001,510,3001,8461.712366819382,0.6470588445663452,1.578052639961243
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.1_n=1020_random_state=1001,1020,1001,8435.39989066124,0.7843137979507446,0.92632229421653
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.1_n=1020_random_state=2001,1020,2001,7562.917127609253,0.803921639919281,0.93874476703943
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.1_n=1020_random_state=3001,1020,3001,8169.264969825745,0.774509847164154,0.9697710661327136
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.01_n=510_random_state=1001,510,1001,8546.8403942585,0.7254902720451355,1.3831698894500732
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.01_n=510_random_state=2001,510,2001,8479.184064388275,0.803921639919281,1.1138972043991089
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.01_n=510_random_state=3001,510,3001,7452.921219587326,0.7647059559822083,1.1668131351470947
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.01_n=1020_random_state=1001,1020,1001,7553.309759140015,0.8529412150382996,0.6529693182776957
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.01_n=1020_random_state=2001,1020,2001,7499.931654930115,0.8382352590560913,0.7349918870364919
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.01_n=1020_random_state=3001,1020,3001,8570.646342277527,0.8529412150382996,0.7400072427356944
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.001_n=510_random_state=1001,510,1001,8527.826191663742,0.7254902124404907,1.3311853408813477
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.001_n=510_random_state=2001,510,2001,7482.833198785782,0.8235294818878174,1.0342141389846802
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.001_n=510_random_state=3001,510,3001,8678.00239276886,0.8137255907058716,1.0862195491790771
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.001_n=1020_random_state=1001,1020,1001,7571.380670070648,0.8872548937797546,0.6099803178918128
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.001_n=1020_random_state=2001,1020,2001,8842.839750528336,0.8774510622024536,0.6662581481185614
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.001_n=1020_random_state=3001,1020,3001,7545.013423442841,0.8823530077934265,0.7063624660174052
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.0001_n=510_random_state=1001,510,1001,7426.179567098618,0.5,3.2323968410491943
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.0001_n=510_random_state=2001,510,2001,7441.023246526718,0.5882353186607361,3.026510238647461
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.0001_n=510_random_state=3001,510,3001,7440.432594776154,0.6764706373214722,2.9756853580474854
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.0001_n=1020_random_state=1001,1020,1001,8840.830006361008,0.617647111415863,3.1059385795219274
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.0001_n=1020_random_state=2001,1020,2001,7487.498000383377,0.5588235855102539,3.091143243453082
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.0001_n=1020_random_state=3001,1020,3001,7601.831912279129,0.6127451658248901,3.028608953251558
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.1_n=510_random_state=1001,510,1001,8625.136565685272,0.7058823704719543,1.3615527153015137
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.1_n=510_random_state=2001,510,2001,7539.9077231884,0.7941176891326904,0.969814956188202
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.1_n=510_random_state=3001,510,3001,8590.990894794464,0.7254902124404907,1.2000774145126345
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.1_n=1020_random_state=1001,1020,1001,8116.832900524139,0.8186275362968445,0.6834064383132785
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.1_n=1020_random_state=2001,1020,2001,8430.448334932327,0.8382353186607361,0.6459284161820131
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.1_n=1020_random_state=3001,1020,3001,7481.328288316727,0.8627451658248901,0.6732932527860005
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.01_n=510_random_state=1001,510,1001,8686.98150229454,0.7352941632270813,1.2484266757965088
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.01_n=510_random_state=2001,510,2001,7504.031216144562,0.8137255907058716,0.9180140495300292
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.01_n=510_random_state=3001,510,3001,7490.433133602142,0.7941176891326904,0.9791023135185242
