criterion,model_name,n,random_state,runtime,val_acc,val_nll
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.1_n=370_random_state=1001,370,1001,1811.6127426624298,0.7432433366775513,0.8845097422599792
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.1_n=370_random_state=2001,370,2001,1754.7454464435577,0.824324369430542,0.7570255398750305
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.1_n=370_random_state=3001,370,3001,1814.1843419075012,0.8108108639717102,0.8529763221740723
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.1_n=3441_random_state=1001,3441,1001,1468.1245839595795,0.9433380961418152,0.1946295790894087
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.1_n=3441_random_state=2001,3441,2001,1478.9920012950897,0.9262920618057252,0.2622158471928086
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.1_n=3441_random_state=3001,3441,3001,1879.542992591858,0.957965850830078,0.1686301401188207
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.01_n=370_random_state=1001,370,1001,1923.479388475418,0.9189189672470092,0.4118834435939789
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.01_n=370_random_state=2001,370,2001,2252.8496074676514,0.9729729890823364,0.3097187280654907
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.01_n=370_random_state=3001,370,3001,1932.47381067276,0.9324324727058412,0.4692794680595398
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.01_n=3441_random_state=1001,3441,1001,1651.37060213089,0.93651020526886,0.2081577254589214
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.01_n=3441_random_state=2001,3441,2001,1667.281456232071,0.927643358707428,0.248729393579239
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.01_n=3441_random_state=3001,3441,3001,1450.2090878486633,0.9444522857666016,0.1836375653050666
