criterion,model_name,n,random_state,runtime,val_acc,val_nll
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.1_n=370_random_state=1001,370,1001,4166.204548120499,0.7297297716140747,1.020410180091858
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.1_n=370_random_state=2001,370,2001,4469.652767419815,0.7567568421363831,0.7021503448486328
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.1_n=370_random_state=3001,370,3001,4176.193824529648,0.7162162065505981,0.8548200726509094
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.1_n=3441_random_state=1001,3441,1001,3824.6486999988556,0.9331910610198976,0.2275692640348922
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.1_n=3441_random_state=2001,3441,2001,3481.4415650367737,0.9512090682983398,0.143463003254214
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.1_n=3441_random_state=3001,3441,3001,3926.036406517029,0.963442325592041,0.1291310466652692
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.01_n=370_random_state=1001,370,1001,4485.624473810196,0.9324324131011964,0.2752358913421631
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.01_n=370_random_state=2001,370,2001,4346.651726484299,0.9189189672470092,0.3802304267883301
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.01_n=370_random_state=3001,370,3001,3737.136574745178,0.8918918967247009,0.3817377388477325
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.01_n=3441_random_state=1001,3441,1001,4026.3424928188324,0.953840672969818,0.1787384471227956
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.01_n=3441_random_state=2001,3441,2001,4120.719472169876,0.9571360349655152,0.1426184627898903
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.01_n=3441_random_state=3001,3441,3001,4114.36053109169,0.9607396125793456,0.141779592217401
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.001_n=370_random_state=1001,370,1001,4523.207798480988,0.9324324131011964,0.2221237868070602
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.001_n=370_random_state=2001,370,2001,4629.0252597332,0.9054054021835328,0.3114303052425384
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.001_n=370_random_state=3001,370,3001,3728.607761859894,0.8378378748893738,0.3894109725952148
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.001_n=3441_random_state=1001,3441,1001,4014.0427923202515,0.9470838904380798,0.1590312559937322
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.001_n=3441_random_state=2001,3441,2001,3489.3962337970734,0.9429587125778198,0.1628544954366462
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.001_n=3441_random_state=3001,3441,3001,4029.167096853256,0.953982949256897,0.1503158223836921
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.0001_n=370_random_state=1001,370,1001,4537.854877471924,0.8648648858070374,1.4549713134765625
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.0001_n=370_random_state=2001,370,2001,4572.142580747604,0.7972973585128784,1.7058706283569336
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.0001_n=370_random_state=3001,370,3001,4403.691435337067,0.824324369430542,1.5542376041412354
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.0001_n=3441_random_state=1001,3441,1001,4037.6940064430237,0.8441678285598755,1.3105865772380385
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.0001_n=3441_random_state=2001,3441,2001,3474.1566734313965,0.7869132161140442,1.4768584883490274
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.0001_n=3441_random_state=3001,3441,3001,4008.482286453247,0.7963727116584778,1.2950189862140389
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.1_n=370_random_state=1001,370,1001,4500.262911558151,0.9054054021835328,0.188372790813446
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.1_n=370_random_state=2001,370,2001,3750.5426545143127,0.9594594836235046,0.2170999646186828
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.1_n=370_random_state=3001,370,3001,4383.652681350708,0.8783783912658691,0.3029772639274597
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.1_n=3441_random_state=1001,3441,1001,3960.9183144569397,0.9612612128257751,0.1297581814402757
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.1_n=3441_random_state=2001,3441,2001,4051.2095894813538,0.9620199203491212,0.105097597594871
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.1_n=3441_random_state=3001,3441,3001,4066.3310911655426,0.9688478112220764,0.1027799222704976
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.01_n=370_random_state=1001,370,1001,4192.082643032074,0.9594594836235046,0.1743251532316208
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.01_n=370_random_state=2001,370,2001,3746.7460935115814,0.9324324727058412,0.2400014698505401
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.01_n=370_random_state=3001,370,3001,4182.428931951523,0.8918919563293457,0.275613397359848
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.01_n=3441_random_state=1001,3441,1001,3855.133817911148,0.95391184091568,0.1478505401417266
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.01_n=3441_random_state=2001,3441,2001,3489.464720249176,0.9553342461586,0.1171179499563782
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.01_n=3441_random_state=3001,3441,3001,3858.103866815567,0.963442325592041,0.1296382764744204
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.001_n=370_random_state=1001,370,1001,4205.356702804565,0.9459459781646729,0.1897259950637817
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.001_n=370_random_state=2001,370,2001,4569.692326784134,0.9054054021835328,0.2815442979335785
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.001_n=370_random_state=3001,370,3001,4423.712461948395,0.8378378748893738,0.3841734230518341
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.001_n=3441_random_state=1001,3441,1001,4024.1274490356445,0.9484352469444276,0.1557201382725737
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.001_n=3441_random_state=2001,3441,2001,3484.245535135269,0.9429587125778198,0.1592580071368882
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.001_n=3441_random_state=3001,3441,3001,3986.473563194275,0.9512802362442015,0.1471561143218084
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.0001_n=370_random_state=1001,370,1001,4348.455049753189,0.8648648858070374,1.4533904790878296
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.0001_n=370_random_state=2001,370,2001,4402.226113796234,0.7972973585128784,1.7049179077148438
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.0001_n=370_random_state=3001,370,3001,3748.0566823482513,0.824324369430542,1.553532958030701
