criterion,model_name,n,random_state,runtime,val_acc,val_nll
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.1_n=370_random_state=1001,370,1001,7475.754836320877,0.8108108639717102,0.9033243060112
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.1_n=370_random_state=2001,370,2001,7395.844995737076,0.8783783912658691,0.4725757241249084
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.1_n=370_random_state=3001,370,3001,8813.399275779724,0.824324369430542,0.7649657130241394
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.1_n=3441_random_state=1001,3441,1001,8527.459168672562,0.9340208172798156,0.2098507901956868
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.1_n=3441_random_state=2001,3441,2001,8567.178528308868,0.947913646697998,0.2189345432575359
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.1_n=3441_random_state=3001,3441,3001,8296.869994401932,0.949928879737854,0.1658747832962246
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.01_n=370_random_state=1001,370,1001,8570.703482151031,0.8108108043670654,0.7172023057937622
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.01_n=370_random_state=2001,370,2001,8539.916374444962,0.9189189672470092,0.3229751586914062
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.01_n=370_random_state=3001,370,3001,8509.248745679855,0.8513513803482056,0.571814775466919
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.01_n=3441_random_state=1001,3441,1001,8246.932005167007,0.9340208768844604,0.2338168267593827
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.01_n=3441_random_state=2001,3441,2001,7542.940150737762,0.930867612361908,0.2542685190605562
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.01_n=3441_random_state=3001,3441,3001,7215.696398019791,0.958416223526001,0.1983008228762205
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.001_n=370_random_state=1001,370,1001,7547.541540384293,0.8513513803482056,0.5111215114593506
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.001_n=370_random_state=2001,370,2001,7462.47554564476,0.9189189672470092,0.2870316803455353
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.001_n=370_random_state=3001,370,3001,7531.078846216202,0.8648648858070374,0.4543238580226898
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.001_n=3441_random_state=1001,3441,1001,7277.4660584926605,0.9489567875862122,0.1762545535037683
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.001_n=3441_random_state=2001,3441,2001,8593.837069749832,0.9465623497962952,0.18833302966384
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.001_n=3441_random_state=3001,3441,3001,8482.334863185883,0.9584874510765076,0.1599800815415936
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.0001_n=370_random_state=1001,370,1001,8587.204369306564,0.8378378748893738,0.6636792421340942
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.0001_n=370_random_state=2001,370,2001,8490.064743757248,0.9054054617881776,0.5762046575546265
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.0001_n=370_random_state=3001,370,3001,8495.806876659393,0.8513513803482056,0.6340252757072449
